fam	genome
RLC01986	b73
RLC01987	b73
RLC01991	b73
RLC01992	b73
RLC01996	b73
RLC02006	b73
RLC02013	b73
RLC02038	b73
RLC02043	b73
RLC02056	b73
RLC02062	b73
RLC02063	b73
RLC02067	b73
RLC02070	b73
RLC02080	b73
RLC02089	b73
RLC02096	b73
RLC02099	b73
RLC02104	b73
RLC02124	b73
RLC02133	b73
RLC02134	b73
RLC02144	b73
RLC02145	b73
RLC02151	b73
RLC02153	b73
RLC02162	b73
RLC02170	b73
RLC02171	b73
RLC02174	b73
RLC02176	b73
RLC02185	b73
RLC02190	b73
RLC02192	b73
RLC02200	b73
RLC02201	b73
RLC02206	b73
RLC02208	b73
RLC02213	b73
RLC02218	b73
RLC02222	b73
RLC02226	b73
RLC02228	b73
RLC02230	b73
RLC02231	b73
RLC02233	b73
RLC02238	b73
RLC02240	b73
RLC02241	b73
RLC02247	b73
RLC02249	b73
RLC02255	b73
RLC02257	b73
RLC02264	b73
RLC02268	b73
RLC02270	b73
RLC02272	b73
RLC02275	b73
RLC02277	b73
RLC02278	b73
RLC02279	b73
RLC02280	b73
RLC02288	b73
RLC02290	b73
RLC02291	b73
RLC02296	b73
RLC02298	b73
RLC02309	b73
RLC02318	b73
RLC02319	b73
RLC02321	b73
RLC02322	b73
RLC02327	b73
RLC02328	b73
RLC02331	b73
RLC02333	b73
RLC02336	b73
RLC02338	b73
RLC02340	b73
RLC02347	b73
RLC02351	b73
RLC02357	b73
RLC02360	b73
RLC02364	b73
RLC02376	b73
RLC02387	b73
RLC02397	b73
RLC02399	b73
RLC02400	b73
RLC02403	b73
RLC02406	b73
RLC02415	b73
RLC02417	b73
RLC02428	b73
RLC02432	b73
RLC02437	b73
RLC02438	b73
RLC02440	b73
RLC02441	b73
RLC02447	b73
RLC02450	b73
RLC02453	b73
RLC02459	b73
RLC02461	b73
RLC02467	b73
RLC02469	b73
RLC02479	b73
RLC02484	b73
RLC02501	b73
RLC02503	b73
RLC02507	b73
RLC02510	b73
RLC02516	b73
RLC02517	b73
RLC02521	b73
RLC02532	b73
RLC02539	b73
RLC02548	b73
RLC02551	b73
RLC02557	b73
RLC02564	b73
RLC02575	b73
RLC02591	b73
RLC02592	b73
RLC02593	b73
RLC02594	b73
RLC02604	b73
RLC02605	b73
RLC02607	b73
RLC02610	b73
RLC02615	b73
RLC02616	b73
RLC02622	b73
RLC02625	b73
RLC02628	b73
RLC02638	b73
RLC02640	b73
RLC02648	b73
RLC02662	b73
RLC02665	b73
RLC02668	b73
RLC02674	b73
RLC02679	b73
RLC02680	b73
RLC02695	b73
RLC02697	b73
RLC02703	b73
RLC02704	b73
RLC02705	b73
RLC02715	b73
RLC02716	b73
RLC02723	b73
RLC02727	b73
RLC02731	b73
RLC02733	b73
RLC02734	b73
RLC02739	b73
RLC02742	b73
RLC02744	b73
RLC02745	b73
RLC02752	b73
RLC02755	b73
RLC02772	b73
RLC02774	b73
RLC02786	b73
RLC02788	b73
RLC02792	b73
RLC02800	b73
RLC02803	b73
RLC02810	b73
RLC02812	b73
RLC02818	b73
RLC02826	b73
RLC02836	b73
RLC02843	b73
RLC02857	b73
RLC02859	b73
RLC02869	b73
RLC02878	b73
RLC02880	b73
RLC02881	b73
RLC02882	b73
RLC02884	b73
RLC02891	b73
RLC02896	b73
RLC02897	b73
RLC02899	b73
RLC02905	b73
RLC02931	b73
RLC02952	b73
RLC02959	b73
RLC02965	b73
RLC02972	b73
RLC02981	b73
RLC02983	b73
RLC02988	b73
RLC02992	b73
RLC02994	b73
RLC03001	b73
RLC03011	b73
RLC03018	b73
RLC03025	b73
RLC03030	b73
RLC03043	b73
RLC03048	b73
RLC03056	b73
RLC03068	b73
RLC03078	b73
RLC03079	b73
RLC03082	b73
RLC03083	b73
RLC03085	b73
RLC03087	b73
RLC03093	b73
RLC03101	b73
RLC03102	b73
RLC03105	b73
RLC03106	b73
RLC03110	b73
RLC03119	b73
RLC03121	b73
RLC03139	b73
RLC03140	b73
RLC03143	b73
RLC03147	b73
RLC03155	b73
RLC03176	b73
RLC03177	b73
RLC03184	b73
RLC03202	b73
RLC03205	b73
RLC03213	b73
RLC03215	b73
RLC03222	b73
RLC03224	b73
RLC03229	b73
RLC03244	b73
RLC03246	b73
RLC03252	b73
RLC03253	b73
RLC03256	b73
RLC03258	b73
RLC03259	b73
RLC03260	b73
RLC03270	b73
RLC03275	b73
RLC03280	b73
RLC03282	b73
RLC03290	b73
RLC03298	b73
RLC03299	b73
RLC03301	b73
RLC03302	b73
RLC03310	b73
RLC03316	b73
RLC03341	b73
RLC03344	b73
RLC03345	b73
RLC03356	b73
RLC03357	b73
RLC03365	b73
RLC03375	b73
RLC03382	b73
RLC03394	b73
RLC03403	b73
RLC03406	b73
RLC03408	b73
RLC03412	b73
RLC03416	b73
RLC03421	b73
RLC03423	b73
RLC03438	b73
RLC03439	b73
RLC03440	b73
RLC03441	b73
RLC03443	b73
RLC03447	b73
RLC03455	b73
RLC03462	b73
RLC03463	b73
RLC03466	b73
RLC03467	b73
RLC03470	b73
RLC03489	b73
RLC03495	b73
RLC03498	b73
RLC03499	b73
RLC03502	b73
RLC03510	b73
RLC03512	b73
RLC03544	b73
RLC03555	b73
RLC03576	b73
RLC03589	b73
RLC03606	b73
RLC03616	b73
RLC03620	b73
RLC03640	b73
RLC03659	b73
RLC03660	b73
RLC03662	b73
RLC03663	b73
RLC03673	b73
RLC03689	b73
RLC03695	b73
RLC03696	b73
RLC03714	b73
RLC03746	b73
RLC03763	b73
RLC03775	b73
RLC03776	b73
RLC03777	b73
RLC03788	b73
RLC03789	b73
RLC03803	b73
RLC03849	b73
RLC03854	b73
RLC03865	b73
RLC03882	b73
RLC03891	b73
RLC03902	b73
RLC03906	b73
RLC03910	b73
RLC03914	b73
RLC03915	b73
RLC03925	b73
RLC03986	b73
RLC03987	b73
RLC03988	b73
RLC03990	b73
RLC04012	b73
RLC04013	b73
